country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,start,end
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",19,2315,1.439409905,733902,1781183,452682437,2023-09-18 00:00:00,2023-09-24 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",9,949,-0.325515281,247210,1778868,451948535,2023-09-11 00:00:00,2023-09-17 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",12,1407,1.236883943,349497,1777919,451701325,2023-09-04 00:00:00,2023-09-10 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",7,629,-0.332979852,153776,1776512,451351828,2023-08-28 00:00:00,2023-09-03 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",11,943,0.540849673,230334,1775883,451198052,2023-08-21 00:00:00,2023-08-27 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",7,612,-0.197903014,139685,1774940,450967718,2023-08-14 00:00:00,2023-08-20 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",7,763,-0.577050998,180561,1774328,450828033,2023-08-07 00:00:00,2023-08-13 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",11,1804,0.625225225,494550,1773565,450647472,2023-07-31 00:00:00,2023-08-06 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",12,1110,0.066282421,273550,1771761,450152922,2023-07-24 00:00:00,2023-07-30 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",10,1041,-0.335673261,223152,1770651,449879372,2023-07-17 00:00:00,2023-07-23 00:00:00
